unique_id,hurst,series_length,unitroot_pp,unitroot_kpss,hw_alpha,hw_beta,hw_gamma,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nonlinearity,lumpiness,alpha,beta,arch_acf,garch_acf,arch_r2,garch_r2,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,exponential_smoothing,xgboost,random_forest,gru,vae,lstm
artificialNoAnomaly/art_daily_no_noise.csv,,4032,-45.19878209,0.046764773,0.5,0.0001,0.25,1.05E-62,1,288,0,7.19E-70,-9.41E-16,-4.16E-17,0.971785095,7.286429361,1,205,108,0.97858307,1.48E-26,0.491388889,-0.007056808,0.070375699,0,0.999999985,0,,,,,168,0.127177115,28,0.960469582,0.989172678,8.854128466,-5.44E-14,2.97E-26,-0.5,0.25,0.928571429,26.7623193817332,0.0122686228743803,0.00374710474652264,0.609463963,1.5594286927972,0.707945538
artificialNoAnomaly/art_daily_perfect_square_wave.csv,,4032,-63.88742829,0.043267152,0.5,0.175,0.2,0,1,288,0,5.03E-70,-4.43E-16,-2.37E-16,0.982791152,8.207770695,1,160,217,0.970529239,0,0.491388889,-0.006061382,-0.000292861,0,0.999999985,1.29E-10,,,,,180,0.15380295,28,0.970557052,0.985036376,8.440206693,0,0,-0.5,0.25,0.928571429,27.3417563890023,0.0106291088049854,2.78025920983803E-05,0.5584139,1.41059995906944,0.414601253
artificialNoAnomaly/art_daily_small_noise.csv,0.412715943,4032,-57.83958691,0.046790128,0.0000000149,0.0000000101,3.11E-21,0.0000128,1,288,0.001701969,1.66E-11,0.010445653,-0.082762674,-0.016532261,0.004681981,0.991392298,141,82,1.027842196,0.078695943,0.713680642,0.205044266,2.34971829,0.000102473,0.71655044,6E-11,,,,,168,0.144923552,490,0.72637842,0.977530847,8.643415052,-0.273729087,0.08206679,-0.62033972,0.418001239,0.918526721,25.9237564536563,2.28310379325739,2.19984914896773,2.599540641,3.56907421133123,2.668343197
artificialNoAnomaly/art_noisy.csv,0.50700104,4032,-4126.670693,0.299752765,0.0000000158,0.00000000761,0.00000248,0.005353556,1,288,0.004609958,0.0000000462,1.498415171,-0.300225182,-0.005857178,0.001592504,0.216342921,37,159,0.000450704,0.49425442,1.039135871,0.00704951,0.007446979,0.003807045,0.0000000149,3.47E-10,,,,,4,0.94799345,2049,0.003418731,-0.009305362,0.001607047,-0.513176168,0.266428703,-0.676907932,0.497557011,0.005106137,2.80023582410007,2.78561495221824,2.88393714122437,2.823385368,2.80561484146634,2.778921715
artificialWithAnomaly/art_daily_flatmiddle.csv,0.501646238,4032,-49.32741972,0.121571046,0.537240378,0.000000159,0.000000263,0.014568207,1,288,0.068883189,0.00000000307,1.730275907,-0.673052305,0.946885164,7.835818016,0.925181123,197,72,0.984697259,0.015853701,0.592282718,0.138939984,0.741961903,0.07403877,0.876144253,0,,,,,276,0.200280564,50,0.859136109,0.98552766,8.76981177,-0.12166872,0.017055103,-0.553617545,0.314773586,0.833093362,39.5760253138819,10.4042835265778,10.4486582226165,6.999999603,14.6319483082081,4.452524739
artificialWithAnomaly/art_daily_jumpsdown.csv,0.523079555,4032,-55.5417228,0.098380023,0.237896072,2.54E-13,1.59E-12,0.021047314,1,288,0.418457602,6.16E-10,-2.156694053,0.722894801,0.734439724,4.771472925,0.966391913,208,64,1.028455446,0.078699139,0.725748846,0.172088778,2.052138495,0.0617663,0.712817962,0,,,,,168,0.186511911,494,0.781879915,0.978055249,8.682667039,-0.270561209,0.076905191,-0.611335847,0.393784123,0.861524484,23.361411335233,4.58215371617597,4.65330263370644,2.488999361,5.9554686568358,2.565010851
artificialWithAnomaly/art_daily_jumpsup.csv,0.565294358,4032,-53.04607506,0.260824618,0.341240991,8.78E-11,0.0000000751,0.047118855,1,288,0.457924562,0.00000000347,3.010173163,-1.1035556,0.86812354,6.69021099,0.934167986,134,41,1.027627119,0.072802451,0.70346209,0.142921563,0.039222798,0.56455644,0.733956059,0,,,,,176,0.225285083,481,0.922626389,0.980088749,8.726534161,-0.265073559,0.074795072,-0.619567518,0.409202883,0.81763367,29.8095844692554,6.72179718559513,6.67796816735239,4.868383921,8.80965003444504,7.030207228
artificialWithAnomaly/art_daily_nojump.csv,0.553390145,4032,-52.59141967,0.185286088,0.327021253,1.1E-10,0.0000000762,0.047579629,1,288,0.462303958,0.00000000285,-3.209266775,0.898856486,0.859516946,6.522397147,0.934503647,154,286,1.015331899,0.060388037,0.690937377,0.142266692,2.27539994,0.076024528,0.747548049,0,,,,,456,0.225630602,655,0.783589376,0.9799423,8.714154572,-0.238485039,0.058067252,-0.599234274,0.371903061,0.796278899,24.8038393773056,5.95896402660236,5.99943162168882,2.563756467,14.188696537329,2.351580352
artificialWithAnomaly/art_increase_spike_density.csv,0.324409873,4032,-4751.528222,0.008390368,0.000000015,0.0000000104,0.00000000536,0.000491001,1,288,0.000316747,0.00000136,0.101748892,-0.078047484,0.012069102,0.145463051,0.192441279,57,267,0.001303877,0.7537591,1.158623984,-0.011985461,-0.005878764,0.02164681,0.0000000149,0.00000000704,,,,,93,0.607947511,167,0.298665419,-0.009269265,0.2245181,-0.491018694,0.563555811,-0.661972162,0.877211068,-0.020033298,0.877768170006551,0.871161430353565,0.84442377520535,0.221761712,0.0846210320908665,0.402010044
artificialWithAnomaly/art_load_balancer_spikes.csv,,4032,-1639.435252,1.734169794,0.650203047,0.000000884,0.00000512,0.166499867,1,288,0.154500399,0.000000519,5.40674588,-1.444551671,0.557556291,0.388242177,0.184800506,181,7,0.393272809,0.163190873,0.615622992,0.017855146,0.164389052,1.929793825,0.655321316,1.71E-11,,,,,212,0.862137897,374,0.270884895,0.605996521,0.637075858,-0.130029492,0.109413537,-0.435053529,0.266053017,0.009672171,0.325306629065104,0.222002569682518,0.221040494324213,0.152533828,0.231328604116609,0.185446367
