unique_id,hurst,series_length,unitroot_pp,unitroot_kpss,hw_alpha,hw_beta,hw_gamma,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nonlinearity,lumpiness,alpha,beta,arch_acf,garch_acf,arch_r2,garch_r2,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,exponential_smoothing,arima,xgboost,random_forest
artificialNoAnomaly/art_daily_no_noise.csv,,4032,-45.19878209,0.046764773,0.5,0.0001,0.25,1.05E-62,1,288,0,7.19E-70,-9.41E-16,-4.16E-17,0.971785095,7.286429361,1,205,108,0.97858307,1.48E-26,0.491388889,-0.007056808,0.070375699,0,0.999999985,0,,,,,168,0.127177115,28,0.960469582,0.989172678,8.854128466,-5.44E-14,2.97E-26,-0.5,0.25,0.928571429,22.40297656,25.28278367,0.011355471,0.00370107
artificialNoAnomaly/art_daily_perfect_square_wave.csv,,4032,-63.88742829,0.043267152,0.5,0.175,0.2,0,1,288,0,5.03E-70,-4.43E-16,-2.37E-16,0.982791152,8.207770695,1,160,217,0.970529239,0,0.491388889,-0.006061382,-0.000292861,0,0.999999985,1.29E-10,,,,,180,0.15380295,28,0.970557052,0.985036376,8.440206693,0,0,-0.5,0.25,0.928571429,22.38578806,26.66814598,0.009474617,2.44E-05
artificialNoAnomaly/art_daily_small_noise.csv,0.412715943,4032,-57.83958691,0.046790128,1.49E-08,1.01E-08,3.11E-21,1.28E-05,1,288,0.001701969,1.66E-11,0.010445653,-0.082762674,-0.016532261,0.004681981,0.991392298,141,82,1.027842196,0.078695943,0.713680642,0.205044266,2.34971829,0.000102473,0.71655044,6.00E-11,,,,,168,0.144923552,490,0.72637842,0.977530847,8.643415052,-0.273729087,0.08206679,-0.62033972,0.418001239,0.918526721,22.72071741,25.47392291,2.009845757,2.076356612
artificialNoAnomaly/art_flatline.csv,,4032,,,,,,,1,288,1,,,,,,1,1,1,,,,,,,0.005,0.0001,,,,,,0,0,,,,,,,,,0,45,0,0
artificialNoAnomaly/art_noisy.csv,0.50700104,4032,-4126.670693,0.299752765,1.58E-08,7.61E-09,2.48E-06,0.005353556,1,288,0.004609958,4.62E-08,1.498415171,-0.300225182,-0.005857178,0.001592504,0.216342921,37,159,0.000450704,0.49425442,1.039135871,0.00704951,0.007446979,0.003807045,1.49E-08,3.47E-10,,,,,4,0.94799345,2049,0.003418731,-0.009305362,0.001607047,-0.513176168,0.266428703,-0.676907932,0.497557011,0.005106137,2.872415686,2.820159502,2.820342067,2.883199777
artificialWithAnomaly/art_daily_flatmiddle.csv,0.501646238,4032,-49.32741972,0.121571046,0.537240378,1.59E-07,2.63E-07,0.014568207,1,288,0.068883189,3.07E-09,1.730275907,-0.673052305,0.946885164,7.835818016,0.925181123,197,72,0.984697259,0.015853701,0.592282718,0.138939984,0.741961903,0.07403877,0.876144253,0,,,,,276,0.200280564,50,0.859136109,0.98552766,8.76981177,-0.12166872,0.017055103,-0.553617545,0.314773586,0.833093362,33.44286848,39.06734658,13.02283473,13.04677642
artificialWithAnomaly/art_daily_jumpsdown.csv,0.523079555,4032,-55.5417228,0.098380023,0.237896072,2.54E-13,1.59E-12,0.021047314,1,288,0.418457602,6.16E-10,-2.156694053,0.722894801,0.734439724,4.771472925,0.966391913,208,64,1.028455446,0.078699139,0.725748846,0.172088778,2.052138495,0.0617663,0.712817962,0,,,,,168,0.186511911,494,0.781879915,0.978055249,8.682667039,-0.270561209,0.076905191,-0.611335847,0.393784123,0.861524484,21.3507737,22.37935423,5.233679637,5.305938584
artificialWithAnomaly/art_daily_jumpsup.csv,0.565294358,4032,-53.04607506,0.260824618,0.341240991,8.78E-11,7.51E-08,0.047118855,1,288,0.457924562,3.47E-09,3.010173163,-1.1035556,0.86812354,6.69021099,0.934167986,134,41,1.027627119,0.072802451,0.70346209,0.142921563,0.039222798,0.56455644,0.733956059,0,,,,,176,0.225285083,481,0.922626389,0.980088749,8.726534161,-0.265073559,0.074795072,-0.619567518,0.409202883,0.81763367,28.98232219,31.44872039,7.966739923,7.984296997
artificialWithAnomaly/art_daily_nojump.csv,0.553390145,4032,-52.59141967,0.185286088,0.327021253,1.10E-10,7.62E-08,0.047579629,1,288,0.462303958,2.85E-09,-3.209266775,0.898856486,0.859516946,6.522397147,0.934503647,154,286,1.015331899,0.060388037,0.690937377,0.142266692,2.27539994,0.076024528,0.747548049,0,,,,,456,0.225630602,655,0.783589376,0.9799423,8.714154572,-0.238485039,0.058067252,-0.599234274,0.371903061,0.796278899,22.30241744,23.7264469,7.032782418,7.075533793
artificialWithAnomaly/art_increase_spike_density.csv,0.324409873,4032,-4751.528222,0.008390368,1.50E-08,1.04E-08,5.36E-09,0.000491001,1,288,0.000316747,1.36E-06,0.101748892,-0.078047484,0.012069102,0.145463051,0.192441279,57,267,0.001303877,0.7537591,1.158623984,-0.011985461,-0.005878764,0.02164681,1.49E-08,7.04E-09,,,,,93,0.607947511,167,0.298665419,-0.009269265,0.2245181,-0.491018694,0.563555811,-0.661972162,0.877211068,-0.020033298,0.897089474,0.812049572,0.953737128,1.258561275
